iter	Passed	Remaining
951	13615	686
952	13634	672
953	13651	658
954	13666	643
955	13679	629
956	13698	615
957	13713	601
958	13727	586
959	13741	572
960	13757	558
961	13772	544
962	13787	529
963	13799	515
964	13814	501
965	13826	486
966	13847	472
967	13863	458
968	13878	444
969	13894	429
970	13909	415
971	13923	401
972	13939	386
973	13952	372
974	13965	358
975	13979	343
976	13990	329
977	14005	315
978	14021	300
979	14033	286
980	14047	272
981	14060	257
982	14078	243
983	14094	229
984	14108	214
985	14121	200
986	14135	186
987	14147	171
988	14162	157
989	14175	143
990	14188	128
991	14202	114
992	14215	100
993	14227	85
994	14241	71
995	14254	57
996	14269	42
997	14282	28
998	14298	14
999	14316	0
